From https://github.com/ndaniels/MolSearch
   f6eecb0..192b19d  smsd       -> origin/smsd
Updating f6eecb0..192b19d
Fast-forward
 build/edu/mit/csail/fmcsj/AbstractMCS.class |  Bin 2082 -> 2082 bytes
 build/jar/Ammolite.jar                      |  Bin 126630 -> 126628 bytes
 src/edu/mit/csail/fmcsj/AbstractMCS.java    |    2 +-
 3 files changed, 1 insertion(+), 1 deletion(-)
[H[JScanning 30_random_molecules.sdf
Finished Scanning after 780 milliseconds
Finished closing files after 780 milliseconds
Decompressing 30.adb
29 clusters
Calculating pairwise distances for 29 clusters
Using 20 threads
Done calculating pairwise distances. Took 16850 milliseconds, 326888 in MCS
Time breakdown:
319 Time 1032 Dist 0.2894736842105263
320 Time 2248 Dist 0.35135135135135137
321 Time 2545 Dist 0.25
322 Time 118 Dist 0.3448275862068966
323 Time 55 Dist 0.2857142857142857
324 Time 3431 Dist 0.2391304347826087
325 Time 818 Dist 0.3870967741935484
326 Time 2033 Dist 0.2894736842105263
327 Time 2938 Dist 0.3170731707317073
328 Time 597 Dist 0.41935483870967744
329 Time 779 Dist 0.34375
330 Time 640 Dist 0.3333333333333333
331 Time 643 Dist 0.25806451612903225
332 Time 492 Dist 0.25806451612903225
333 Time 880 Dist 0.3142857142857143
334 Time 172 Dist 0.1935483870967742
335 Time 10 Dist 0.17857142857142858
336 Time 1109 Dist 0.24390243902439024
337 Time 688 Dist 0.40625
338 Time 1463 Dist 0.36363636363636365
339 Time 963 Dist 0.40625
340 Time 1420 Dist 0.19047619047619047
341 Time 1089 Dist 0.2
342 Time 1045 Dist 0.225
343 Time 160 Dist 0.22580645161290322
344 Time 1051 Dist 0.225
345 Time 1432 Dist 0.35135135135135137
346 Time 1914 Dist 0.28205128205128205
347 Time 192 Dist 0.3448275862068966
348 Time 45 Dist 0.2857142857142857
349 Time 2926 Dist 0.26666666666666666
350 Time 1988 Dist 0.23809523809523808
351 Time 405 Dist 0.22580645161290322
352 Time 1240 Dist 0.2222222222222222
353 Time 1495 Dist 0.1951219512195122
354 Time 605 Dist 0.3
355 Time 631 Dist 0.3103448275862069
356 Time 474 Dist 0.25806451612903225
357 Time 413 Dist 0.3076923076923077
358 Time 289 Dist 0.3076923076923077
359 Time 414 Dist 0.28125
360 Time 41 Dist 0.23076923076923078
361 Time 2 Dist 0.21739130434782608
362 Time 561 Dist 0.1794871794871795
363 Time 404 Dist 0.21212121212121213
364 Time 861 Dist 0.25
365 Time 563 Dist 0.25
366 Time 815 Dist 0.2857142857142857
367 Time 726 Dist 0.5357142857142857
368 Time 686 Dist 0.1891891891891892
369 Time 82 Dist 0.2222222222222222
370 Time 572 Dist 0.2571428571428571
371 Time 721 Dist 0.21621621621621623
372 Time 1420 Dist 0.25
373 Time 476 Dist 0.3076923076923077
374 Time 86 Dist 0.2916666666666667
375 Time 1287 Dist 0.20930232558139536
376 Time 731 Dist 0.20512820512820512
377 Time 806 Dist 0.20512820512820512
378 Time 261 Dist 0.375
379 Time 738 Dist 0.3
380 Time 834 Dist 0.29411764705882354
381 Time 401 Dist 0.3076923076923077
382 Time 382 Dist 0.5
383 Time 278 Dist 0.36
384 Time 281 Dist 0.2608695652173913
385 Time 121 Dist 0.2608695652173913
386 Time 457 Dist 0.3333333333333333
387 Time 90 Dist 0.2857142857142857
388 Time 22 Dist 0.35294117647058826
389 Time 293 Dist 0.24242424242424243
390 Time 464 Dist 0.2962962962962963
391 Time 449 Dist 0.2962962962962963
392 Time 463 Dist 0.2962962962962963
393 Time 484 Dist 0.2903225806451613
394 Time 42 Dist 0.52
395 Time 414 Dist 0.3
396 Time 100 Dist 0.4
397 Time 8 Dist 0.56
398 Time 565 Dist 0.2903225806451613
399 Time 24 Dist 0.5384615384615384
400 Time 135 Dist 0.45
401 Time 21 Dist 0.4444444444444444
402 Time 859 Dist 0.23684210526315788
403 Time 475 Dist 0.3125
404 Time 448 Dist 0.23529411764705882
405 Time 361 Dist 0.32142857142857145
14 clusters
Calculating pairwise distances for 14 clusters
Using 20 threads
Done calculating pairwise distances. Took 3034 milliseconds, 33154 in MCS
Time breakdown:
0 Time 507 Dist 0.25
1 Time 424 Dist 0.21875
2 Time 524 Dist 0.3333333333333333
3 Time 572 Dist 0.3333333333333333
4 Time 487 Dist 0.1951219512195122
5 Time 461 Dist 0.22857142857142856
6 Time 487 Dist 0.22857142857142856
7 Time 649 Dist 0.4117647058823529
8 Time 439 Dist 0.23529411764705882
9 Time 618 Dist 0.2702702702702703
10 Time 72 Dist 0.28
11 Time 107 Dist 0.23333333333333334
12 Time 170 Dist 0.34782608695652173
13 Time 173 Dist 0.2857142857142857
14 Time 116 Dist 0.2962962962962963
15 Time 1196 Dist 0.275
16 Time 1726 Dist 0.21739130434782608
17 Time 1549 Dist 0.19047619047619047
18 Time 1784 Dist 0.1956521739130435
19 Time 1563 Dist 0.2
20 Time 320 Dist 0.22857142857142856
21 Time 841 Dist 0.2777777777777778
22 Time 912 Dist 0.18604651162790697
23 Time 735 Dist 0.21621621621621623
24 Time 1283 Dist 0.35135135135135137
25 Time 746 Dist 0.2564102564102564
26 Time 112 Dist 0.26666666666666666
27 Time 2593 Dist 0.2391304347826087
28 Time 870 Dist 0.3142857142857143
29 Time 958 Dist 0.24390243902439024
30 Time 844 Dist 0.40625
31 Time 1108 Dist 0.19047619047619047
32 Time 842 Dist 0.225
33 Time 197 Dist 0.22580645161290322
34 Time 2120 Dist 0.26666666666666666
35 Time 1279 Dist 0.23809523809523808
36 Time 55 Dist 0.34615384615384615
37 Time 72 Dist 0.21212121212121213
38 Time 75 Dist 0.21428571428571427
39 Time 85 Dist 0.3448275862068966
40 Time 108 Dist 0.22580645161290322
41 Time 82 Dist 0.2857142857142857
42 Time 260 Dist 0.1794871794871795
43 Time 103 Dist 0.24242424242424243
44 Time 107 Dist 0.24242424242424243
45 Time 25 Dist 0.23809523809523808
46 Time 24 Dist 0.19230769230769232
47 Time 24 Dist 0.3157894736842105
48 Time 22 Dist 0.2
49 Time 25 Dist 0.2608695652173913
50 Time 12 Dist 0.5
51 Time 44 Dist 0.15625
52 Time 32 Dist 0.23076923076923078
53 Time 85 Dist 0.18518518518518517
54 Time 50 Dist 0.23529411764705882
55 Time 31 Dist 0.23809523809523808
56 Time 28 Dist 0.19230769230769232
57 Time 41 Dist 0.25
58 Time 78 Dist 0.2
59 Time 40 Dist 0.20833333333333334
60 Time 55 Dist 0.38461538461538464
